Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Uranus,1569, 1569-Jan-06 10:19:00 UTC,0.429,19.333
Jupiter Uranus,1582, 1582-Jun-15 02:10:00 UTC,0.98,121.283
Jupiter Uranus,1582, 1582-Dec-22 08:58:00 UTC,0.243,50.133
Jupiter Uranus,1596, 1596-Mar-27 05:06:00 UTC,0.472,7.814
Jupiter Uranus,1609, 1609-Jul-17 20:07:00 UTC,0.599,43.407
Jupiter Uranus,1610, 1610-Feb-01 06:20:00 UTC,1.989,118.833
Jupiter Uranus,1623, 1623-Aug-15 16:51:00 UTC,0.001,9.22
Jupiter Uranus,1637, 1637-Oct-29 19:59:00 UTC,0.524,16.551
Jupiter Uranus,1651, 1651-Dec-18 04:44:00 UTC,0.418,3.697
Jupiter Uranus,1665, 1665-May-02 01:53:00 UTC,0.007,81.985
Jupiter Uranus,1665, 1665-Jul-31 03:12:00 UTC,0.309,169.438
Jupiter Uranus,1665, 1665-Nov-29 16:48:00 UTC,0.266,68.768
Jupiter Uranus,1679, 1679-Mar-11 19:48:00 UTC,0.46,19.464
Jupiter Uranus,1692, 1692-Jun-26 09:56:00 UTC,0.568,28.03
Jupiter Uranus,1706, 1706-Jul-23 07:02:00 UTC,0.014,8.454
Jupiter Uranus,1720, 1720-Oct-06 12:45:00 UTC,0.488,2.275
Jupiter Uranus,1734, 1734-Nov-29 07:10:00 UTC,0.41,11.584
Jupiter Uranus,1748, 1748-Apr-09 03:37:00 UTC,0.075,62.969
Jupiter Uranus,1748, 1748-Sep-01 16:05:00 UTC,0.349,154.967
Jupiter Uranus,1748, 1748-Nov-03 14:38:00 UTC,0.296,91.938
Jupiter Uranus,1762, 1762-Feb-24 19:33:00 UTC,0.457,31.05
Jupiter Uranus,1775, 1775-Jun-08 19:59:00 UTC,0.542,14.316
Jupiter Uranus,1789, 1789-Jun-29 16:14:00 UTC,0.019,25.297
Jupiter Uranus,1803, 1803-Sep-13 10:47:00 UTC,0.471,20.822
Jupiter Uranus,1817, 1817-Nov-10 09:17:00 UTC,0.408,26.675
Jupiter Uranus,1831, 1831-Mar-21 06:49:00 UTC,0.117,46.822
Jupiter Uranus,1831, 1831-Oct-05 13:09:00 UTC,1.855,120.955
Jupiter Uranus,1845, 1845-Feb-08 10:14:00 UTC,0.466,44.17
Jupiter Uranus,1858, 1858-May-23 07:06:00 UTC,0.524,2.482
Jupiter Uranus,1871, 1871-Nov-20 21:29:00 UTC,1.275,118.279
Jupiter Uranus,1872, 1872-Jun-05 08:56:00 UTC,0.018,43.795
Jupiter Uranus,1886, 1886-Jan-23 02:53:00 UTC,1.8,117.093
Jupiter Uranus,1886, 1886-Aug-18 08:47:00 UTC,0.476,40.234
Jupiter Uranus,1900, 1900-Mar-31 09:44:00 UTC,1.768,119.386
Jupiter Uranus,1900, 1900-Oct-20 09:15:00 UTC,0.415,43.578
Jupiter Uranus,1914, 1914-Mar-04 03:38:00 UTC,0.145,33.206
Jupiter Uranus,1927, 1927-Jul-13 21:47:00 UTC,0.608,107.146
Jupiter Uranus,1928, 1928-Jan-25 08:05:00 UTC,0.482,56.289
Jupiter Uranus,1941, 1941-May-08 00:54:00 UTC,0.514,8.627
Jupiter Uranus,1954, 1954-Oct-07 11:35:00 UTC,0.351,76.288
Jupiter Uranus,1955, 1955-Jan-07 03:02:00 UTC,0.15,169.973
Jupiter Uranus,1955, 1955-May-10 20:39:00 UTC,0.016,64.862
Jupiter Uranus,1968, 1968-Dec-11 10:13:00 UTC,0.486,75.83
Jupiter Uranus,1969, 1969-Mar-11 15:34:00 UTC,0.792,168.329
Jupiter Uranus,1969, 1969-Jul-20 10:17:00 UTC,0.509,63.176
Jupiter Uranus,1983, 1983-Feb-18 19:37:00 UTC,0.753,80.743
Jupiter Uranus,1983, 1983-May-14 22:59:00 UTC,0.824,165.877
Jupiter Uranus,1983, 1983-Sep-25 15:55:00 UTC,0.44,63.827
Jupiter Uranus,1997, 1997-Feb-16 02:36:00 UTC,0.168,21.543
Jupiter Uranus,2010, 2010-Jun-08 08:15:00 UTC,0.437,77.18
Jupiter Uranus,2010, 2010-Sep-18 23:20:00 UTC,0.809,176.798
Jupiter Uranus,2011, 2011-Jan-04 15:33:00 UTC,0.519,73.135
Jupiter Uranus,2024, 2024-Apr-21 03:09:00 UTC,0.508,20.34
Jupiter Uranus,2037, 2037-Sep-08 11:17:00 UTC,0.377,53.107
Jupiter Uranus,2038, 2038-Feb-19 17:43:00 UTC,0.057,139.471
Jupiter Uranus,2038, 2038-Mar-30 21:51:00 UTC,0.021,99.794
Jupiter Uranus,2051, 2051-Nov-09 05:38:00 UTC,0.37,47.875
Jupiter Uranus,2052, 2052-May-29 23:57:00 UTC,0.641,106.961
