Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Neptune,1446, 1446-Nov-14 08:35:00 UTC,0.099,60.643
Jupiter Neptune,1447, 1447-Mar-19 21:48:00 UTC,0.266,171.092
Jupiter Neptune,1447, 1447-Jun-29 11:19:00 UTC,0.003,72.237
Jupiter Neptune,1459, 1459-Nov-11 03:01:00 UTC,0.538,29.738
Jupiter Neptune,1460, 1460-Jun-14 07:04:00 UTC,3.092,117.151
Jupiter Neptune,1472, 1472-Nov-10 11:25:00 UTC,0.876,2.766
Jupiter Neptune,1485, 1485-Nov-06 09:24:00 UTC,1.06,28.789
Jupiter Neptune,1498, 1498-Mar-07 21:00:00 UTC,0.71,64.949
Jupiter Neptune,1498, 1498-Jul-14 08:06:00 UTC,1.012,169.605
Jupiter Neptune,1498, 1498-Oct-15 18:10:00 UTC,1.094,77.829
Jupiter Neptune,1511, 1511-Feb-17 06:47:00 UTC,0.492,17.987
Jupiter Neptune,1524, 1524-Jan-30 11:49:00 UTC,0.129,27.315
Jupiter Neptune,1536, 1536-May-21 13:04:00 UTC,0.327,53.49
Jupiter Neptune,1536, 1536-Nov-22 14:13:00 UTC,0.092,124.363
Jupiter Neptune,1549, 1549-Apr-29 08:40:00 UTC,0.768,4.602
Jupiter Neptune,1561, 1561-Sep-22 16:15:00 UTC,2.306,118.143
Jupiter Neptune,1562, 1562-Apr-12 19:42:00 UTC,1.059,39.326
Jupiter Neptune,1574, 1574-Aug-09 17:34:00 UTC,0.806,44.772
Jupiter Neptune,1575, 1575-Feb-21 09:33:00 UTC,1.36,118.328
Jupiter Neptune,1587, 1587-Aug-01 07:29:00 UTC,0.656,8.898
Jupiter Neptune,1600, 1600-Jul-31 03:57:00 UTC,0.308,19.055
Jupiter Neptune,1613, 1613-Jan-04 00:47:00 UTC,0.001,107.45
Jupiter Neptune,1613, 1613-Jan-22 17:28:00 UTC,0.071,126.631
Jupiter Neptune,1613, 1613-Jul-31 03:45:00 UTC,0.14,46.76
