Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Jupiter ,2755, 2755-May-16 09:07:00 UTC,2.677,119.291
Saturn Jupiter ,2755, 2755-Dec-03 23:23:00 UTC,0.373,42.249
Saturn Jupiter ,2775, 2775-Jan-17 11:43:00 UTC,3.249,113.679
Saturn Jupiter ,2775, 2775-Aug-25 10:41:00 UTC,0.96,29.727
Saturn Jupiter ,2794, 2794-Jul-22 07:37:00 UTC,1.184,68.594
Saturn Jupiter ,2794, 2794-Dec-10 16:53:00 UTC,1.286,149.048
Saturn Jupiter ,2795, 2795-Jan-23 03:53:00 UTC,1.303,103.706
Saturn Jupiter ,2815, 2815-Feb-23 06:32:00 UTC,0.166,30.059
Saturn Jupiter ,2834, 2834-Nov-30 08:13:00 UTC,1.046,53.066
Saturn Jupiter ,2835, 2835-May-29 12:27:00 UTC,1.12,122.706
Saturn Jupiter ,2854, 2854-May-20 15:06:00 UTC,1.152,2.55
Saturn Jupiter ,2874, 2874-Dec-25 15:59:00 UTC,0.039,35.288
Saturn Jupiter ,2894, 2894-Oct-16 18:23:00 UTC,1.136,2.357
Saturn Jupiter ,2913, 2913-Sep-27 01:20:00 UTC,1.084,113.074
Saturn Jupiter ,2914, 2914-Mar-24 10:17:00 UTC,1.147,62.859
Saturn Jupiter ,2934, 2934-Mar-19 10:07:00 UTC,0.162,38.013
Saturn Jupiter ,2934, 2934-Oct-13 18:01:00 UTC,3.74,117.884
Saturn Jupiter ,2954, 2954-Feb-22 21:28:00 UTC,1.433,119.236
Saturn Jupiter ,2954, 2954-Sep-03 15:06:00 UTC,1.229,49.735
Saturn Jupiter ,2973, 2973-Jul-01 23:33:00 UTC,0.952,21.138
Saturn Jupiter ,2994, 2994-Jan-18 08:01:00 UTC,0.304,27.732
